Dashboard_Type,Metric_ID,Metric_Name,Category,Baseline,Target_Q1,Target_Q2,Target_Q3,Target_Q4,Actual_Q1,Actual_Q2,Actual_Q3,Actual_Q4,Status,Owner,Notes
ITSM Maturity,MAT-01,Overall ITSM Maturity,Maturity,36%,40%,50%,60%,65%,,,,,Not Started,ITSM Lead,Average of 7 areas
ITSM Maturity,MAT-02,Change Management Maturity,Maturity,58.5%,62%,68%,72%,75%,,,,,Not Started,CM Lead,
ITSM Maturity,MAT-03,Request Management Maturity,Maturity,47.8%,52%,58%,62%,65%,,,,,Not Started,RM Lead,
ITSM Maturity,MAT-04,Incident Management Maturity,Maturity,44.3%,50%,58%,65%,70%,,,,,Not Started,IM Manager,
ITSM Maturity,MAT-05,Process QA Maturity,Maturity,41.2%,48%,55%,62%,68%,,,,,Not Started,PQA Lead,
ITSM Maturity,MAT-06,Quality Control Maturity,Maturity,30.8%,38%,45%,52%,58%,,,,,Not Started,QC Lead,
ITSM Maturity,MAT-07,3rd Party Management Maturity,Maturity,19.4%,25%,35%,45%,55%,,,,,Not Started,3P Lead,
ITSM Maturity,MAT-08,CMDB Maturity,Maturity,9.3%,20%,40%,60%,75%,,,,,Not Started,CMDB Admin,
Objective Progress,OBJ-01,OC1: Framework Governance,Objective,0%,60%,80%,95%,100%,,,,,Not Started,All Leads,Policies RACI SLA
Objective Progress,OBJ-02,OC2: CMDB Standardized,Objective,0%,20%,50%,75%,90%,,,,,Not Started,CMDB Admin,Tool + integration
Objective Progress,OBJ-03,OC3: Maturity Improvement,Objective,0%,15%,35%,60%,75%,,,,,Not Started,All Leads,Quality Speed Cost
Objective Progress,OBJ-04,OC4: Metrics & Dashboards,Objective,0%,40%,70%,85%,95%,,,,,Not Started,BI + Leads,KPIs dashboards CSAT
CMDB Metrics,CMDB-01,CI Coverage %,CMDB,<50%,60%,70%,80%,90%,,,,,Not Started,CMDB Admin,% of assets in CMDB
CMDB Metrics,CMDB-02,CI Data Quality %,CMDB,Unknown,70%,80%,90%,95%,,,,,Not Started,CMDB Admin,Accuracy of CI data
CMDB Metrics,CMDB-03,CI Relationships Mapped,CMDB,0,20%,50%,80%,95%,,,,,Not Started,CMDB Admin,Dependencies tracked
CMDB Metrics,CMDB-04,CMDB-IM Integration,CMDB,0%,0%,30%,100%,100%,,,,,Not Started,CMDB + IM,Incident-CI linking
CMDB Metrics,CMDB-05,CMDB-CM Integration,CMDB,0%,0%,30%,100%,100%,,,,,Not Started,CMDB + CM,Change-CI linking
CMDB Metrics,CMDB-06,CMDB-RM Integration,CMDB,0%,0%,30%,100%,100%,,,,,Not Started,CMDB + RM,Request-CI linking
Incident Management,IM-01,MTTA (Mean Time To Acknowledge),Performance,Unknown,<30min,<20min,<15min,<10min,,,,,Not Started,IM Manager,Time to acknowledge
Incident Management,IM-02,MTTR (Mean Time To Resolve),Performance,Unknown,<4hr,<3hr,<2.5hr,<2hr,,,,,Not Started,IM Manager,P1/P2 average
Incident Management,IM-03,SLA Compliance %,Performance,Unmeasured,70%,80%,85%,90%,,,,,Not Started,IM Manager,P1-P4 combined
Incident Management,IM-04,First Call Resolution %,Performance,Unknown,30%,40%,50%,60%,,,,,Not Started,IM Manager,Resolved without escalation
Incident Management,IM-05,Escalation Rate %,Performance,Unknown,<40%,<35%,<30%,<25%,,,,,Not Started,IM Manager,% escalated to L2/L3
Incident Management,IM-06,CSAT Score,Performance,0,60%,70%,75%,80%,,,,,Not Started,IM Manager,Customer satisfaction
Incident Management,IM-07,Automation Rate %,Automation,20%,25%,40%,55%,70%,,,,,Not Started,IM Manager + Jira Admin,Auto routing/priority
Change Management,CM-01,Change Success Rate %,Performance,95%,96%,97%,97.5%,98%,,,,,On Track,CM Lead,100% - CFR
Change Management,CM-02,Change Failure Rate %,Performance,5%,4%,3%,2.5%,2%,,,,,On Track,CM Lead,Failed changes
Change Management,CM-03,Emergency Change Rate %,Performance,Unknown,<15%,<12%,<10%,<8%,,,,,Not Started,CM Lead,% emergency vs total
Change Management,CM-04,Average Change Lead Time,Performance,Unknown,5 days,4 days,3 days,3 days,,,,,Not Started,CM Lead,Request to approval
Change Management,CM-05,CAB Effectiveness,Performance,Partial,60%,75%,85%,90%,,,,,Not Started,CM Lead,Meeting attendance + decisions
Change Management,CM-06,Risk Assessment Coverage %,Performance,0%,50%,75%,90%,100%,,,,,Not Started,CM Lead,% changes risk assessed
Request Management,RM-01,Request Volume,Volume,Unknown,Track,Track,Track,Track,,,,,Not Started,RM Lead,Monthly volume
Request Management,RM-02,SLA Compliance %,Performance,Unmeasured,70%,80%,85%,90%,,,,,Not Started,RM Lead,Within SLA
Request Management,RM-03,Avg Fulfillment Time,Performance,Unknown,<5 days,<4 days,<3 days,<3 days,,,,,Not Started,RM Lead,Submit to complete
Request Management,RM-04,Auto-Categorization Rate %,Automation,0%,20%,50%,70%,80%,,,,,Not Started,RM Lead + Jira Admin,Auto routing
Request Management,RM-05,CSAT Score,Performance,0,60%,70%,75%,80%,,,,,Not Started,RM Lead,Customer satisfaction
Request Management,RM-06,Self-Service Utilization %,Performance,Unknown,30%,40%,50%,60%,,,,,Not Started,RM Lead,Portal usage
