Task_ID,Task_Name,Phase,Start_Date,End_Date,Duration_Days,Priority,Owner,Dependencies,OC_Mapping,Findings_Addressed,Budget_USD,Status
Q1,Q1 2026: FOUNDATION,Q1,2026-01-06,2026-03-31,84,CRITICAL,All Leads,,OC1|OC2|OC3|OC4,ALL,50000,Not Started
1.1,HIRE CMDB Admin,Q1-Jan,2026-01-06,2026-01-31,26,CRITICAL,HR + IT Manager,,OC2,CMDB-F15|CMDB-ALL,70000,Not Started
1.2,RACI Matrices All Areas,Q1-Jan,2026-01-13,2026-01-24,12,HIGH,All Leads,,OC1,PQA-F1|CM-F7|IM-F4|RM-F3|QC-OC02,0,Not Started
1.3,SLA Workshops IM/RM,Q1-Jan,2026-01-13,2026-01-24,12,HIGH,IM/RM Leads + Service Mgr,,OC1,IM-F5|RM-F3,0,Not Started
1.4,PQA Audit Checklists,Q1-Jan,2026-01-20,2026-01-31,12,HIGH,PQA Lead,,OC1,PQA-F2,0,Not Started
1.5,Change Freeze Calendar 2026,Q1-Jan,2026-01-13,2026-01-17,5,LOW,CM Lead,,OC1,CM-F14,0,Not Started
1.6,KPI Framework Kickoff,Q1-Jan,2026-01-27,2026-02-14,19,HIGH,All Leads + BI,,OC4,PQA-F5|QC-FC03|RM-F1|IM-F6|3P-F5,0,Not Started
1.7,Formalize IM Manager Role,Q1-Jan,2026-01-06,2026-01-10,5,LOW,Head IT Ops + HR,,OC1,IM-F4,0,Not Started
2.1,CMDB Policy Document,Q1-Feb,2026-02-03,2026-02-14,12,CRITICAL,CMDB Admin,1.1,OC2,CMDB-F1,0,Not Started
2.2,CMDB Tool Evaluation,Q1-Feb,2026-02-10,2026-02-28,19,CRITICAL,CMDB Admin + Infra,2.1,OC2,CMDB-F2,0,Not Started
2.3,Compliance Checklists,Q1-Feb,2026-02-03,2026-02-14,12,HIGH,PQA + Compliance,,OC1,PQA-F4|CM-F3|QC-FC07,0,Not Started
2.4,Risk Assessment Framework,Q1-Feb,2026-02-10,2026-02-21,12,HIGH,CM Lead + CAB,,OC1,CM-F1,0,Not Started
2.5,KPI Finalization,Q1-Feb,2026-02-03,2026-02-14,12,HIGH,All Leads + BI,1.6,OC4,Multiple,0,Not Started
2.6,Monthly Review Setup,Q1-Feb,2026-02-17,2026-02-21,5,LOW,IM/RM Leads,,OC4,RM-F7,0,Not Started
2.7,3rd Party Policy Draft,Q1-Feb,2026-02-10,2026-02-21,12,MEDIUM,Governance,,OC1,3P-F1,0,Not Started
2.8,Post 3rd Party Lead Job,Q1-Feb,2026-02-24,2026-02-28,5,LOW,HR,,OC1,3P-ALL,0,Not Started
3.1,CMDB Tool Selection & Procurement,Q1-Mar,2026-03-03,2026-03-14,12,CRITICAL,CMDB Admin + Procurement,2.2,OC2,CMDB-F2,30000,Not Started
3.2,CSAT Survey Design,Q1-Mar,2026-03-03,2026-03-14,12,HIGH,IM/RM Leads,,OC4,RM-F2|IM-F6,0,Not Started
3.3,Automation Rules Design,Q1-Mar,2026-03-10,2026-03-31,22,CRITICAL,Jira Admin + IM/RM,,OC3,IM-F3|RM-F4,0,Not Started
3.4,Dashboard Mockups,Q1-Mar,2026-03-03,2026-03-28,26,CRITICAL,BI + Leads,,OC4,Multiple,0,Not Started
3.5,CI Classification & Naming,Q1-Mar,2026-03-03,2026-03-14,12,HIGH,CMDB Admin + Infra,1.1,OC2,CMDB-F3,0,Not Started
3.6,Assign CMDB Steward & CI Owners,Q1-Mar,2026-03-10,2026-03-14,5,LOW,CMDB Admin + IT Mgr,3.5,OC2,CMDB-F6|F7,0,Not Started
3.7,QC Policy Formalization,Q1-Mar,2026-03-10,2026-03-21,12,MEDIUM,QC Lead + PQA,,OC1,QC-FC01|QC-OC01,0,Not Started
3.8,Q1 Review & Q2 Planning,Q1-Mar,2026-03-24,2026-03-31,8,MEDIUM,All Leads,,ALL,N/A,0,Not Started
Q2,Q2 2026: BUILD INFRASTRUCTURE,Q2,2026-04-01,2026-06-30,91,CRITICAL,All Leads,,OC1|OC2|OC3|OC4,ALL,130000,Not Started
4.1,CMDB Tool Deployment,Q2-Apr,2026-04-01,2026-04-30,30,CRITICAL,CMDB Admin + Vendor + DevOps,3.1,OC2,CMDB-F2,0,Not Started
4.2,CI Data Population Starts,Q2-Apr,2026-04-08,2026-12-31,268,ONGOING,CMDB Admin + Infra,4.1,OC2,CMDB-F3,0,Not Started
4.3,Dashboard Development,Q2-Apr,2026-04-01,2026-05-16,46,CRITICAL,BI Team,3.4,OC4,Multiple,15000,Not Started
4.4,Jira Automation Implementation Phase 1,Q2-Apr,2026-04-08,2026-05-23,46,CRITICAL,Jira Admin + IM/RM,3.3,OC3,IM-F3|RM-F4,0,Not Started
4.5,Interview 3rd Party Lead,Q2-Apr,2026-04-01,2026-04-14,14,MEDIUM,HR + Hiring Mgr,2.8,OC1,3P-F15,0,Not Started
4.6,MW Policy & SLA,Q2-Apr,2026-04-08,2026-04-21,14,MEDIUM,CM Lead + IT Ops,,OC1,CM-F13,0,Not Started
4.7,Defect Triage Ceremony Setup,Q2-Apr,2026-04-15,2026-04-18,4,LOW,QC Lead,,OC3,QC-FC08,0,Not Started
5.1,CI Data Population (Target 50%),Q2-May,2026-05-01,2026-05-31,31,ONGOING,CMDB Admin + Infra,4.2,OC2,CMDB-F3,0,Not Started
5.2,Dashboards Go-Live,Q2-May,2026-05-05,2026-05-16,12,CRITICAL,BI + Leads,4.3,OC4,Multiple,0,Not Started
5.3,CSAT Launch,Q2-May,2026-05-12,2026-05-16,5,HIGH,IM/RM Leads,3.2,OC4,RM-F2|IM-F6,5000,Not Started
5.4,3rd Party Lead Onboarding,Q2-May,2026-05-05,2026-05-16,12,CRITICAL,HR + 3P Lead,4.5,OC1,3P-ALL,0,Not Started
5.5,Automation Testing,Q2-May,2026-05-12,2026-05-23,12,MEDIUM,Jira Admin + QA,4.4,OC3,IM-F3|RM-F4,0,Not Started
