Total rows: 76
Unnamed: 0|Unnamed: 1|Unnamed: 2|Unnamed: 3|Unnamed: 4|Unnamed: 5|Unnamed: 6|Unnamed: 7
#|Area|Finding|% Current|Impact|Action|Owner|Timeline
1|Request fullfilment Management|Metrics not tracked (SLA %, cycle time)|CRITICAL|Cannot measure performance, justify resources|Setup dashboard tracking 5 key metrics||
2|Request fullfilment Management|NO quality & CSAT measurement|CRITICAL|Don't know if users happy or quality good|Create CSAT survey, quality metrics||
3|Request fullfilment Management|Weak ITSM integration (all manual)|CRITICAL|Cannot do impact analysis, leverage data|Auto-link incidents/changes, CMDB update||
4|Request fullfilment Management|NO formal service review|CRITICAL|Problems repeat, trends not identified|Setup monthly review with bottleneck analysis||
5|Request fullfilment Management|Weak user engagement (25%)|HIGH|Users don't know SLA, no feedback channel|Communicate SLA clearly, setup feedback||
6|Request fullfilment Management|NO business service mapping (25%)|HIGH|Cannot prioritize by business impact|Map requests to services, improve prioritization||
7|Incident|Incident Manager role not defined|CRITICAL|No one owns IM quality|Define & assign Incident Manager role + responsibilities||
8|Incident|SLA not approved per severity (P1-P4)|CRITICAL|No resolution target → cannot measure performance|Define SLA per severity, get approval||
9|Incident|Escalation path ad-hoc, not formal|CRITICAL|Incidents escalate slowly → delayed resolution|Create escalation matrix by severity/type||
10|Incident|Workflow automation 0% - all manual|HIGH|Manual work = 80% admin time → slow response|Setup auto incident creation, auto-assign, priority||
11|Incident|ITSM integration 0% (Problem/Change/CMDB)|CRITICAL|Cannot do impact analysis → wrong decisions|Integrate incidents with Problem/Change/CMDB||
12|Incident|ITIL/ISO compliance 0%|HIGH|Not industry standard → audit risk|Implement ITIL IM practices, plan audit||
13|Change Management|Phân tích rủi ro chưa có thang đánh giá và phân loại|CRITICAL|Không phân loại mức rủi ro, không có escalation path, tất cả đều theo luồng chung nên có thể sẽ bị chậm do không có đánh giấu ưu tiên|"- Tạo thang đánh giá rủi ro 1-5
- Xác định các tiêu chí thay đổi cao rủi ro
- Tạo đường dẫn escalation (escalation path)
- Ghi nhận thành tài liệu"|Change Management,  CAB team, PQA|
14|Change Management|Chưa có quy định về lưu trữ và backup dữ liệu CR|CRITICAL|"- Không biết thời gian lưu giữ dữ liệu RFC
- Không có Kế hoạch khôi phục khi xảy ra sự cố (DR)
- Mất khả năng truy vết lịch sử thay đổi (traceability)"|"- Định rõ chính sách lưu giữ (thời hạn lưu trữ, theo iTIL thì 1-3-5 năm tùy theo Tier, ISO 27001: 5 năm)
- Tạo quy trình sao lưu hàng tháng
- Test quy trình khôi phục (restore)"|Change Management, Infra|
15|Change Management|Chưa triển khai Audit đối với hoạt động CM|CRITICAL|Không track được tuân thủ với chính sách, không đánh giá được các rủi ro vi phạm và có |"- Lên lịch compliance audit
- Xác định phạm vi audit & danh sách kiểm tra (checklist)
- Ghi lại các vi phạm & Kế hoạch khắc phục"|Change Management, PQA|
16|Change Management|CR template quá dài, nhiều thông tin chưa có cơ chế đánh giá, xác thực (ví dụ: Đánh giá ảnh hưởng, đánh giá rủi ro…)|HIGH|Khó khăn cho người tạo CR và review/phê duyệt CR|"- Đơn giản hóa template theo loại CR
- Bổ sung đánh giá ảnh hưởng, đánh giá rủi ro
- Bổ sung KMS cho tra cứu các hướng dẫn liên quan CR, CM"|Change Management, Development team, CAB, PQA|
17|Change Management|Communication Plan chưa có hướng dẫn cụ thể|HIGH|"- Team giao tiếp ad-hoc (không có quy trình)
- Thông tin không nhất quán giữa các team
- Rủi ro ảnh hưởng đến uy tín do phối hợp truyền thông đến KH"|"- Xác định các nhóm đối tượng cần thông báo (stakeholder groups)
- Lên lịch thông báo: trước/trong/sau thay đổi (pre/during/post-change)
- Ghi nhận thành tài liệu"|Change Management Team, Product team, PQA|
18|Change Management|CAB thiếu quy định tiêu chí đánh giá & họp định kỳ|HIGH|"- Thiếu tiêu chí đánh giá ổn định có thể dẫn tới quyết định của CAB không nhất quán
- Không có tracking định kỳ"|"- Xác định tiêu chí đánh giá chính
- Xác định lịch họp CAB định kỳ
- Ghi nhận decision log"|Change Management Team, CAB|
19|Change Management|RACI chưa có tài liệu chính thức|HIGH|"- Không rõ trách nhiệm và quyền hạn, có thể gây xung đột trong quyết định CM
- Khó Audit"|"- Ban hành bổ sung RACI
- Có cơ chế cập nhật khi phát sinh thay đổi"|Change Management Team, PQA|
20|Change Management|Change Failure Request (CFR) Root Causes chưa có phân tích chiến lược|HIGH|Không hiểu nguyên nhân gốc của các request Fail sẽ khó improve|Phân tích top 3 nguyên nhân gốc của các CFR để có kế hoạch cải thiện|Change Management Team, Development team, PQA|
21|Change Management|Incident-Change Linkage thực hiện manual|HIGH|"	- Incident investigation cần truy vết thủ công
- Effort cao, thời gian xử lý (TAT) chậm"|"	- Xây dựng query tự động hóa liên kết incident-change
- Tích hợp API
- Test tự động hóa & đào tạo team"|Change Management Team, Incident Management Team, Development team, PQA|
22|Change Management|CMDB Integration chưa thiết lập|HIGH|"	- Không biết thay đổi ảnh hưởng những cấu hình nào 
- Không track dependencies giữa các CIs
- Khó phân tích nguyên nhân gốc (root cause analysis)"|"- Xác định các CIs chính yếu (core CIs)
- Ánh xạ Change Request với CIs
- Tích hợp CMDB với Jira
- Tự động cập nhật khi deployment"|Change Management Team, Development team, Infra|
23|Change Management|Sonar đang tạm dừng hoạt động|HIGH|Quality control yếu|- Restart lại Sonar|Trao đổi thêm với Devops|
24|Change Management|PIR chưa kết nối CI/CD, kiểm tra manual|MEDIUM|"- Không biết PIR có match với deployment thực tế Không
- Không track Tự động success metrics"|"- Tự động hóa kết nối giữa Jira & deployment tools
- Tạo PIR success metrics
- Tự động kích hoạt PIR khi deploy"|Change Management Team, DevOps Team, VHUD|
25|Change Management|Maintenance Window chưa có quy định criticality-based|MEDIUM|"- Truyền Thông Không đồng nhất
- Khách hàng Không biết lịch maintenance"|"	- Định rõ chính sách maintenance window theo criticality (P1/P2/P3)
- Tạo template thông báo
- Cập nhật SLA"|Change Management Team, DevOps Team, VHUD|
26|Change Management|Change Freeze Periods chưa có quy định cụ thể|MEDIUM|Ảnh hưởng Sprint Planning|"- Tạo chính sách freeze period
- Thông báo 30 ngày trước (advance notification)
- Truyền thông lịch hàng quý
- Tích hợp vào sprint planning"|Change Management Team, Development Team|
27|Change Management|Dashboard chưa tự động lấy dữ liệu theo thời gian chọn|MEDIUM|"- Lãnh đạo Không có data real-time để quyết định
- Tracking SLA Không chính Xác"|"- Xây dựng tự động hóa dashboard (API/query)
- Thêm date picker để chọn khoảng thời gian
- Xuất bản hàng tuần/tháng
- Setup real-time alerts"|Change Management Team, BI team?|
